Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
1.3652 1.8159 -2.5509 11.3987 -2.5982 0.3031 -0.0020 -0.0117 0.0496 -0.0950 0.3856 -0.6354 0.2568 0.38 dia M
4.1129 1.8155 -2.5332 11.0415 -0.7368 0.2849 -0.0018 -0.0081 0.0380 -0.0883 0.3640 -0.6035 0.2493 0.39 dia M
1.4862 1.9999 -2.7504 12.2222 -3.4789 0.2950 -0.0018 -0.0113 0.0461 -0.0881 0.3736 -0.6168 0.2503 0.4 dia M
-2.4740 2.0859 -2.8319 12.5224 -3.8212 0.3229 -0.0028 -0.0094 0.0487 -0.0860 0.3920 -0.6551 0.2772 0.41 dia M
-0.4150 1.9078 -2.6838 12.7489 -6.8520 0.3217 -0.0029 -0.0082 0.0472 -0.0801 0.3635 -0.6077 0.2576 0.42 dia M
-0.0497 1.8113 -2.6253 12.8018 -7.7129 0.3277 -0.0029 -0.0071 0.0414 -0.0794 0.3497 -0.5807 0.2402 0.43 dia M
-1.5833 1.7827 -2.6894 13.4925 -9.1732 0.3439 -0.0030 -0.0061 0.0371 -0.0845 0.3665 -0.6098 0.2548 0.44 dia M
1.2090 1.7298 -2.6076 12.8518 -6.9268 0.3277 -0.0027 -0.0052 0.0323 -0.0870 0.3703 -0.6203 0.2656 0.45 dia M
1.2834 1.6318 -2.5106 12.1368 -4.9164 0.3350 -0.0025 -0.0086 0.0415 -0.0924 0.3860 -0.6467 0.2773 0.46 dia M
-0.4438 1.6936 -2.4801 11.7414 -4.8147 0.3463 -0.0031 -0.0075 0.0435 -0.0895 0.3834 -0.6422 0.2749 0.47 dia M
-0.2325 1.6130 -2.4272 12.1673 -8.1046 0.3529 -0.0033 -0.0065 0.0434 -0.0851 0.3606 -0.6019 0.2545 0.48 dia M
-2.1989 1.6982 -2.4926 12.7697 -10.7769 0.3643 -0.0037 -0.0061 0.0459 -0.0859 0.3821 -0.6441 0.2821 0.49 dia M
-0.8411 1.6919 -2.4301 12.0592 -8.6670 0.3572 -0.0040 -0.0005 0.0305 -0.0865 0.3748 -0.6317 0.2776 0.5 dia M
0.1678 1.6387 -2.3829 11.4230 -6.0839 0.3552 -0.0038 -0.0004 0.0275 -0.0933 0.3894 -0.6552 0.2867 0.51 dia M
0.8079 1.7778 -2.4652 11.0582 -4.0097 0.3404 -0.0029 -0.0096 0.0477 -0.0928 0.4036 -0.6792 0.2963 0.52 dia M
-1.1219 1.8103 -2.4361 10.7708 -4.1791 0.3561 -0.0036 -0.0078 0.0484 -0.0819 0.3736 -0.6278 0.2717 0.53 dia M
-4.8133 1.8058 -2.3310 9.8828 -2.9487 0.3871 -0.0049 -0.0019 0.0409 -0.0736 0.3513 -0.5879 0.2503 0.54 dia M
-8.1979 2.0298 -2.4940 10.6089 -5.3076 0.4011 -0.0058 0.0028 0.0321 -0.0692 0.3504 -0.5851 0.2470 0.55 dia M
-6.7520 2.0613 -2.4814 10.1310 -3.6573 0.3884 -0.0055 0.0002 0.0371 -0.0753 0.3769 -0.6294 0.2655 0.56 dia M
-3.5660 1.8329 -2.2802 9.0883 -0.4962 0.3807 -0.0050 -0.0007 0.0371 -0.0810 0.3819 -0.6401 0.2738 0.57 dia M
1.0387 1.7975 -2.2844 9.2486 -0.6268 0.3494 -0.0037 -0.0064 0.0437 -0.0821 0.3621 -0.6004 0.2472 0.58 dia M
1.6962 1.5592 -2.1909 9.9497 -4.5187 0.3625 -0.0033 -0.0098 0.0505 -0.0904 0.3640 -0.5976 0.2383 0.59 dia M
1.7174 1.6924 -2.3499 11.1189 -8.0750 0.3556 -0.0029 -0.0144 0.0602 -0.0871 0.3514 -0.5716 0.2195 0.6 dia M
-1.1808 1.8960 -2.4788 11.4555 -8.5302 0.3668 -0.0036 -0.0124 0.0586 -0.0775 0.3326 -0.5377 0.2006 0.61 dia M
-1.9286 1.8974 -2.4107 10.6569 -6.2357 0.3747 -0.0042 -0.0079 0.0509 -0.0731 0.3224 -0.5217 0.1951 0.62 dia M
